mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
4	5	1/4	1/16		1/16	1		-4	68	1	1	
4	5	5/16	1/16		1/16	1		1	67	1	1	
4	5	3/8	1/16		1/16	1		-1	65	1	1	
4	5	7/16	1/16		1/16	1		-3	63	1	1	
4	5	1/2	1/4		1/4	1		-3	51	2	1	
4	5	1/2	1/4		1/4	1		0	60	2	1	
4	5	1/2	1/16		1/16	1		1	79	1	1	
4	5	9/16	1/16		1/16	1		2	74	1	1	
4	5	5/8	1/16		1/16	1		-3	75	1	1	
4	5	11/16	1/16		1/16	1		0	72	1	1	
5	6	0	1/4		1/4	1		-1	53	2	1	
5	6	0	1/4		1/4	1		0	60	2	1	
5	6	0	1/4		1/4	1		-2	70	1	1	
5	6	1/4	1/4		1/4	1		-2	58	2	1	
5	6	1/4	1/4		1/4	1		2	62	2	1	
5	6	1/4	3/16		1/8	3/2		-4	68	1	1	
5	6	7/16	1/32		1/32	1		1	67	1	1	
5	6	15/32	1/32		1/32	1		-4	68	1	1	
5	6	1/2	1/4		1/4	1		0	60	2	1	
5	6	1/2	1/4		1/4	1		-3	63	2	1	
5	6	1/2	1/16		1/16	1		1	67	1	1	
5	6	9/16	1/16		1/16	1		-3	75	1	1	
5	6	5/8	1/16		1/16	1		2	74	1	1	
5	6	11/16	1/16		1/16	1		-5	73	1	1	
6	7	0	1/4		1/4	1		-4	44	2	1	
6	7	0	1/4		1/4	1		-4	56	2	1	
6	7	0	1/16		1/16	1		5	71	1	1	
6	7	1/16	1/16		1/16	1		0	72	1	1	
6	7	1/16	0	grace32	1/32	1		2	74	1	1	
6	7	1/8	1/16		1/16	1		-4	68	1	1	
6	7	1/8	0	grace32	1/32	1		-2	70	1	1	
6	7	3/16	1/16		1/16	1		-1	65	1	1	
6	7	3/16	0	grace32	1/32	1		1	67	1	1	
6	7	1/4	1/2		1/2	1		-2	46	2	2	
6	7	1/4	1/4		1/4	1		1	55	2	1	
6	7	1/4	3/8		1/4	3/2		-3	63	1	1	
6	7	1/2	1/4		1/4	1		-4	56	2	1	
6	7	5/8	1/8		1/8	1		2	62	1	2	
6	7	5/8	1/16		1/16	1		1	67	1	1	
6	7	11/16	1/16		1/16	1		-1	65	1	1	
7	8	0	1/16		1/16	1		-3	51	2	1	
7	8	0	1/4		1/4	1		-3	63	1	1	
7	8	1/16	1/16		1/16	1		1	55	2	1	
7	8	1/8	1/16		1/16	1		-2	58	2	1	
7	8	3/16	1/16		1/16	1		1	55	2	1	
7	8	1/4	1/16		1/16	1		-3	51	2	1	
7	8	5/16	1/16		1/16	1		1	55	2	1	
7	8	3/8	1/16		1/16	1		-2	58	2	1	
7	8	3/8	1/8		1/8	1		1	67	1	1	
7	8	3/8	1/8		1/8	1		-2	70	1	1	
7	8	7/16	1/16		1/16	1		1	55	2	1	
7	8	1/2	1/16		1/16	1		-3	51	2	1	
7	8	1/2	1/8		1/8	1		1	67	1	1	
7	8	1/2	1/8		1/8	1		-2	70	1	1	
7	8	9/16	1/16		1/16	1		1	55	2	1	
7	8	5/8	1/16		1/16	1		-2	58	2	1	
7	8	5/8	1/8		1/8	1		1	67	1	1	
7	8	5/8	1/8		1/8	1		-2	70	1	1	
7	8	11/16	1/16		1/16	1		1	55	2	1	
8	9	0	1/16		1/16	1		-3	51	2	1	
8	9	0	1/2		1/2	1		-4	68	1	2	
8	9	0	1/8		1/8	1		-3	75	1	1	
8	9	1/16	1/16		1/16	1		-1	53	2	1	
8	9	1/8	1/16		1/16	1		-4	56	2	1	
8	9	1/8	1/4		1/4	1		2	74	1	1	
8	9	3/16	1/16		1/16	1		-1	53	2	1	
8	9	1/4	1/16		1/16	1		-3	51	2	1	
8	9	5/16	1/16		1/16	1		-1	53	2	1	
8	9	3/8	1/16		1/16	1		-4	56	2	1	
8	9	3/8	1/16		1/16	1		-2	82	1	1	
8	9	7/16	1/16		1/16	1		-1	53	2	1	
8	9	7/16	1/16		1/16	1		-4	80	1	1	
8	9	1/2	1/16		1/16	1		-3	51	2	1	
8	9	1/2	1/16		1/16	1		1	79	1	1	
8	9	9/16	1/16		1/16	1		-1	53	2	1	
8	9	9/16	1/16		1/16	1		-1	77	1	1	
8	9	5/8	1/16		1/16	1		-4	56	2	1	
8	9	5/8	1/16		1/16	1		-3	75	1	1	
8	9	11/16	1/16		1/16	1		-1	53	2	1	
8	9	11/16	1/16		1/16	1		2	74	1	1	
9	10	0	1/16		1/16	1		-3	51	2	1	
9	10	0	3/16		1/8	3/2		-3	75	1	1	
9	10	0	0	grace16	1/16	1		-1	77	1	1	
9	10	1/16	1/16		1/16	1		1	55	2	1	
9	10	1/8	1/16		1/16	1		-2	58	2	1	
9	10	3/16	1/16		1/16	1		1	55	2	1	
9	10	3/16	1/32		1/32	1		2	74	1	1	
9	10	7/32	1/32		1/32	1		0	72	1	1	
9	10	1/4	1/16		1/16	1		-3	51	2	1	
9	10	1/4	1/8		1/8	1		-2	70	1	1	
9	10	5/16	1/16		1/16	1		1	55	2	1	
9	10	3/8	1/16		1/16	1		-2	58	2	1	
9	10	3/8	1/8		1/8	1		1	67	1	1	
9	10	3/8	1/8		1/8	1		-2	70	1	1	
9	10	7/16	1/16		1/16	1		1	55	2	1	
9	10	1/2	1/16		1/16	1		-3	51	2	1	
9	10	1/2	1/8		1/8	1		1	67	1	1	
9	10	1/2	1/8		1/8	1		-2	70	1	1	
9	10	9/16	1/16		1/16	1		1	55	2	1	
9	10	5/8	1/16		1/16	1		-2	58	2	1	
9	10	5/8	1/8		1/8	1		1	67	1	1	
9	10	5/8	1/8		1/8	1		-2	70	1	1	
9	10	11/16	1/16		1/16	1		1	55	2	1	
10	11	0	1/16		1/16	1		-3	51	2	1	
10	11	0	1/2		1/2	1		-4	68	1	2	
10	11	0	1/8		1/8	1		-3	75	1	1	
10	11	1/16	1/16		1/16	1		-1	53	2	1	
10	11	1/8	1/16		1/16	1		-4	56	2	1	
10	11	1/8	1/4		1/4	1		2	74	1	1	
10	11	3/16	1/16		1/16	1		-1	53	2	1	
10	11	1/4	1/16		1/16	1		-3	51	2	1	
10	11	5/16	1/16		1/16	1		-1	53	2	1	
10	11	3/8	1/16		1/16	1		-4	56	2	1	
10	11	3/8	1/16		1/16	1		-2	82	1	1	
10	11	7/16	1/16		1/16	1		-1	53	2	1	
10	11	7/16	1/16		1/16	1		-4	80	1	1	
10	11	1/2	1/16		1/16	1		-3	51	2	1	
10	11	1/2	1/16		1/16	1		1	79	1	1	
10	11	9/16	1/16		1/16	1		-1	53	2	1	
10	11	9/16	1/16		1/16	1		-1	77	1	1	
10	11	5/8	1/16		1/16	1		-4	56	2	1	
10	11	5/8	1/16		1/16	1		-3	75	1	1	
10	11	11/16	1/16		1/16	1		-1	53	2	1	
10	11	11/16	1/16		1/16	1		2	74	1	1	
11	12	0	1/4		1/4	1		-3	51	2	1	
11	12	0	1/4		1/4	1		1	55	2	1	
11	12	0	1/8		1/8	1		-3	75	1	1	
11	12	1/8	0	grace32	1/32	1		2	74	1	1	
11	12	1/8	0	grace32	1/32	1		-3	75	1	1	
11	12	1/8	1/32		1/32	1		-3	75	1	1	
11	12	1/8	0	grace32	1/32	1		-1	77	1	1	
11	12	5/32	1/32		1/32	1		-1	77	1	1	
11	12	3/16	1/32		1/32	1		1	79	1	1	
11	12	7/32	1/32		1/32	1		-3	75	1	1	
11	12	1/4	1/8		1/8	1		-2	70	1	1	
11	12	3/8	1/8		1/8	1		1	55	2	1	
11	12	3/8	1/8		1/8	1		-2	58	2	1	
11	12	3/8	1/8		1/8	1		1	67	1	1	
11	12	3/8	1/8		1/8	1		-2	70	1	1	
11	12	1/2	1/8		1/8	1		-4	56	2	1	
11	12	1/2	1/8		1/8	1		0	60	2	1	
11	12	1/2	1/8		1/8	1		-1	65	1	1	
11	12	1/2	1/8		1/8	1		-4	68	1	1	
11	12	5/8	1/8		1/8	1		3	57	2	1	
11	12	5/8	1/8		1/8	1		0	60	2	1	
11	12	5/8	1/8		1/8	1		-3	63	1	1	
11	12	5/8	1/8		1/8	1		1	67	1	1	
12	13	0	1/4		1/4	1		-2	58	2	1	
12	13	0	1/4		1/4	1		-3	63	1	2	
12	13	0	3/16		1/8	3/2		-2	70	1	1	
12	13	3/16	1/16		1/16	1		1	67	1	1	
12	13	1/4	1/4		1/4	1		2	62	1	2	
12	13	1/4	1/4		1/4	1		-1	65	1	1	
12	13	3/8	1/8		1/8	1		-2	58	2	1	
12	13	1/2	1/8		1/8	1		-1	53	2	1	
12	13	5/8	1/8		1/8	1		2	50	2	1	
13	14	0	1/8		1/8	1		-2	46	2	1	
13	14	0	0	grace16	1/16	1		-1	65	1	1	
13	14	0	3/8		1/4	3/2		-1	77	1	1	
13	14	1/8	1/8		1/8	1		2	50	2	1	
13	14	1/4	1/8		1/8	1		-1	53	2	1	
13	14	3/8	1/8		1/8	1		-2	58	2	1	
13	14	3/8	1/32		1/32	1		-3	75	1	1	
13	14	13/32	1/32		1/32	1		2	74	1	1	
13	14	7/16	1/32		1/32	1		0	72	1	1	
13	14	15/32	1/32		1/32	1		-2	70	1	1	
13	14	1/2	1/8		1/8	1		-3	63	2	2	
13	14	1/2	1/4		1/4	1		-1	65	2	1	
13	14	1/2	1/8		1/8	1		3	69	1	1	
13	14	5/8	1/8		1/8	1		2	62	2	2	
13	14	5/8	1/8		1/8	1		-2	70	1	1	
14	15	0	1/8		1/8	1		0	60	2	1	
14	15	0	1/8		1/8	1		-3	63	2	1	
14	15	0	1/8		1/8	1		0	72	1	1	
14	15	1/8	1/8		1/8	1		-2	58	2	1	
14	15	1/8	1/8		1/8	1		2	62	2	1	
14	15	1/8	1/32		1/32	1		-3	75	1	1	
14	15	5/32	1/32		1/32	1		2	74	1	1	
14	15	3/16	1/32		1/32	1		0	72	1	1	
14	15	7/32	1/32		1/32	1		2	74	1	1	
14	15	1/4	1/4		1/4	1		3	57	2	1	
14	15	1/4	1/4		1/4	1		0	60	2	1	
14	15	1/4	1/8		1/8	1		-3	75	1	1	
14	15	3/8	1/8		1/8	1		-1	65	1	1	
14	15	1/2	1/8		1/8	1		-1	65	1	1	
14	15	5/8	1/8		1/8	1		-1	65	1	1	
15	16	0	3/8		1/4	3/2		-3	75	1	1	
15	16	1/8	1/8		1/8	1		-1	53	2	1	
15	16	1/4	1/8		1/8	1		3	57	2	1	
15	16	3/8	1/8		1/8	1		0	60	2	1	
15	16	3/8	1/32		1/32	1		-1	77	1	1	
15	16	13/32	1/32		1/32	1		-3	75	1	1	
15	16	7/16	1/32		1/32	1		2	74	1	1	
15	16	15/32	1/32		1/32	1		0	72	1	1	
15	16	1/2	1/8		1/8	1		2	62	2	1	
15	16	1/2	1/8		1/8	1		-2	70	1	1	
15	16	5/8	1/8		1/8	1		-3	63	2	1	
15	16	5/8	1/8		1/8	1		-1	65	2	2	
15	16	5/8	1/8		1/8	1		3	69	1	1	
15	16	5/8	1/8		1/8	1		0	72	1	2	
16	17	0	1/8		1/8	1		2	62	2	1	
16	17	0	1/8		1/8	1		-1	65	2	1	
16	17	0	1/8		1/8	1		-2	70	1	2	
16	17	0	1/8		1/8	1		2	74	1	1	
16	17	1/8	1/8		1/8	1		0	60	2	1	
16	17	1/8	1/8		1/8	1		-3	63	2	1	
16	17	1/8	1/8		1/8	1		0	72	1	2	
16	17	1/8	1/32		1/32	1		-1	77	1	1	
16	17	5/32	1/32		1/32	1		-3	75	1	1	
16	17	3/16	1/32		1/32	1		2	74	1	1	
16	17	7/32	1/32		1/32	1		-3	75	1	1	
16	17	1/4	1/8		1/8	1		-2	58	2	1	
16	17	1/4	1/8		1/8	1		2	62	2	1	
16	17	1/4	1/8		1/8	1		2	74	1	2	
16	17	1/4	1/8		1/8	1		-1	77	1	1	
16	17	3/8	1/8		1/8	1		-2	46	2	1	
16	17	1/2	1/8		1/8	1		-2	46	2	1	
16	17	5/8	1/8		1/8	1		-2	46	2	1	
17	18	0	3/8		1/4	3/2		-4	80	1	1	
17	18	1/8	1/8		1/8	1		2	50	2	1	
17	18	1/4	1/8		1/8	1		-1	53	2	1	
17	18	3/8	1/8		1/8	1		-4	56	2	1	
17	18	3/8	1/32		1/32	1		1	79	1	1	
17	18	13/32	1/32		1/32	1		-1	77	1	1	
17	18	7/16	1/32		1/32	1		-3	75	1	1	
17	18	15/32	1/32		1/32	1		2	74	1	1	
17	18	1/2	1/8		1/8	1		1	55	2	1	
17	18	1/2	1/8		1/8	1		-3	75	1	1	
17	18	5/8	1/8		1/8	1		2	50	2	1	
17	18	5/8	1/8		1/8	1		-1	77	1	1	
18	19	0	3/8		1/4	3/2		6	78	1	1	
18	19	1/8	1/8		1/8	1		-3	51	2	1	
18	19	1/8	1/8		1/8	1		-2	58	2	1	
18	19	1/4	1/8		1/8	1		-3	51	2	1	
18	19	1/4	1/8		1/8	1		-2	58	2	1	
18	19	3/8	1/8		1/8	1		-3	51	2	1	
18	19	3/8	1/8		1/8	1		5	59	2	1	
18	19	3/8	1/16		1/16	1		-4	80	1	1	
18	19	7/16	1/16		1/16	1		1	79	1	1	
18	19	1/2	1/8		1/8	1		-3	51	2	1	
18	19	1/2	1/8		1/8	1		0	60	2	1	
18	19	1/2	1/16		1/16	1		-1	77	1	1	
18	19	9/16	1/16		1/16	1		-3	75	1	1	
18	19	5/8	1/8		1/8	1		-3	51	2	1	
18	19	5/8	1/8		1/8	1		3	57	2	1	
18	19	5/8	1/16		1/16	1		2	74	1	1	
18	19	11/16	1/16		1/16	1		0	72	1	1	
19	20	0	1/8		1/8	1		2	50	2	1	
19	20	0	1/8		1/8	1		-2	58	2	1	
19	20	0	1/24		1/16	2/3		-1	77	1	2	
19	20	1/24	1/24		1/16	2/3		4	76	1	2	
19	20	1/12	1/24		1/16	2/3		-1	77	1	2	
19	20	1/8	1/8		1/8	1		-3	51	2	1	
19	20	1/8	1/8		1/8	1		-2	58	2	1	
19	20	1/8	1/24		1/16	2/3		1	79	1	2	
19	20	1/6	1/24		1/16	2/3		1	67	1	2	
19	20	5/24	1/24		1/16	2/3		-3	75	1	2	
19	20	1/4	1/8		1/8	1		-1	53	2	1	
19	20	1/4	1/8		1/8	1		2	62	2	1	
19	20	1/4	1/4		1/4	1		-2	70	1	1	
19	20	3/8	1/8		1/8	1		-1	53	2	1	
19	20	3/8	1/8		1/8	1		2	62	2	1	
19	20	1/2	1/8		1/8	1		-1	53	2	1	
19	20	1/2	1/8		1/8	1		-3	63	2	1	
19	20	1/2	1/4		1/4	1		-4	68	1	2	
19	20	1/2	1/16		1/16	1		2	74	1	1	
19	20	9/16	1/16		1/16	1		0	72	1	1	
19	20	5/8	1/8		1/8	1		-1	53	2	1	
19	20	5/8	1/8		1/8	1		-3	63	2	1	
19	20	5/8	1/16		1/16	1		-2	70	1	1	
19	20	11/16	1/16		1/16	1		0	72	1	1	
20	21	0	1/16		1/16	1		-2	58	2	1	
20	21	0	1/16		1/16	1		2	62	2	1	
20	21	0	1/4		1/4	1		-2	70	1	1	
20	21	1/16	1/16		1/16	1		-2	58	2	1	
20	21	1/8	1/16		1/16	1		2	62	2	1	
20	21	3/16	1/16		1/16	1		-1	65	2	1	
20	21	1/4	1/16		1/16	1		-3	63	2	1	
20	21	5/16	1/16		1/16	1		-1	65	2	1	
20	21	3/8	1/16		1/16	1		2	62	2	1	
20	21	3/8	1/8		1/8	1		-2	70	1	1	
20	21	3/8	1/8		1/8	1		-1	77	1	1	
20	21	7/16	1/16		1/16	1		-1	65	2	1	
20	21	1/2	1/16		1/16	1		0	60	2	1	
20	21	1/2	1/8		1/8	1		0	72	1	1	
20	21	1/2	1/8		1/8	1		-1	77	1	1	
20	21	9/16	1/16		1/16	1		-1	65	2	1	
20	21	5/8	1/16		1/16	1		-2	58	2	1	
20	21	5/8	1/8		1/8	1		2	74	1	1	
20	21	5/8	1/8		1/8	1		-1	77	1	1	
20	21	11/16	1/16		1/16	1		-1	65	2	1	
21	22	0	1/16		1/16	1		3	57	2	1	
21	22	0	1/4		1/4	1		-3	75	1	2	
21	22	0	1/8		1/8	1	1	-1	77	1	1	
21	22	1/16	1/16		1/16	1		0	60	2	1	
21	22	1/8	1/16		1/16	1		-3	63	2	1	
21	22	1/8	1/32		1/32	1	-1	-1	77	1	1	
21	22	5/32	1/32		1/32	1		1	79	1	1	
21	22	3/16	1/16		1/16	1		2	62	2	1	
21	22	3/16	1/32		1/32	1		-1	77	1	1	
21	22	7/32	1/32		1/32	1		4	76	1	1	
21	22	1/4	1/16		1/16	1		0	60	2	1	
21	22	1/4	1/8		1/8	1		-1	77	1	1	
21	22	5/16	1/16		1/16	1		-2	58	2	1	
21	22	3/8	1/16		1/16	1		3	57	2	1	
21	22	3/8	1/8		1/8	1		3	69	1	2	
21	22	3/8	1/8		1/8	1		-1	77	1	1	
21	22	7/16	1/16		1/16	1		1	55	2	1	
21	22	1/2	1/16		1/16	1		-1	53	2	1	
21	22	1/2	1/8		1/8	1		-2	70	1	2	
21	22	1/2	1/8		1/8	1		1	79	1	1	
21	22	9/16	1/16		1/16	1		1	55	2	1	
21	22	5/8	1/16		1/16	1		-3	51	2	1	
21	22	5/8	1/8		1/8	1		0	72	1	2	
21	22	5/8	1/8		1/8	1		3	81	1	1	
21	22	11/16	1/16		1/16	1		-1	53	2	1	
22	23	0	1/16		1/16	1		2	50	2	1	
22	23	0	1/4		1/4	1		-2	70	1	2	
22	23	0	1/8		1/8	1	1	-2	82	1	1	
22	23	1/16	1/16		1/16	1		-1	53	2	1	
22	23	1/8	1/16		1/16	1		-2	58	2	1	
22	23	1/8	1/32		1/32	1	-1	-2	82	1	1	
22	23	5/32	1/32		1/32	1		0	84	1	1	
22	23	3/16	1/16		1/16	1		-1	53	2	1	
22	23	3/16	1/32		1/32	1		2	86	1	1	
22	23	7/32	1/32		1/32	1		-2	82	1	1	
22	23	1/4	1/8		1/8	1		2	62	2	1	
22	23	1/4	1/8		1/8	1		-1	77	1	1	
22	23	3/8	1/8		1/8	1		-2	58	2	1	
22	23	3/8	1/8		1/8	1		2	62	2	1	
22	23	3/8	1/8		1/8	1		2	74	1	1	
22	23	3/8	1/8		1/8	1		-1	77	1	1	
22	23	1/2	1/8		1/8	1		0	60	2	1	
22	23	1/2	1/8		1/8	1		-3	63	2	1	
22	23	1/2	1/8		1/8	1		0	72	1	1	
22	23	1/2	1/8		1/8	1		-3	75	1	1	
22	23	5/8	1/8		1/8	1		2	62	2	1	
22	23	5/8	1/8		1/8	1		-1	65	2	1	
22	23	5/8	1/8		1/8	1		-2	70	1	1	
22	23	5/8	1/8		1/8	1		2	74	1	1	
23	24	0	1/4		1/4	1		-3	63	2	1	
23	24	0	1/4		1/4	1		1	67	2	1	
23	24	0	1/8		1/8	1	1	0	72	1	1	
23	24	1/8	1/32		1/32	1	-1	0	72	1	1	
23	24	5/32	1/32		1/32	1		2	74	1	1	
23	24	3/16	1/32		1/32	1		-3	75	1	1	
23	24	7/32	1/32		1/32	1		0	72	1	1	
23	24	1/4	1/8		1/8	1		1	79	1	1	
23	24	3/8	1/8		1/8	1		-3	51	2	2	
23	24	3/8	1/8		1/8	1		0	60	2	1	
23	24	3/8	1/8		1/8	1		1	67	1	1	
23	24	3/8	1/8		1/8	1		-3	75	1	1	
23	24	1/2	1/4		1/4	1		-1	53	2	2	
23	24	1/2	1/8		1/8	1		2	62	2	1	
23	24	1/2	1/8		1/8	1		-1	65	1	1	
23	24	1/2	1/8		1/8	1		-2	70	1	1	
23	24	5/8	1/8		1/8	1		-3	63	2	1	
23	24	5/8	1/8		1/8	1		3	69	1	1	
23	24	5/8	1/8		1/8	1		0	72	1	1	
24	25	0	1/4		1/4	1		-2	58	2	2	
24	25	0	1/4		1/4	1		-3	63	2	1	
24	25	0	1/4		1/4	1		3	69	1	1	
24	25	0	3/16		1/8	3/2		0	72	1	2	
24	25	3/16	1/16		1/16	1		7	73	1	2	
24	25	1/4	1/16		1/16	1		-2	58	2	2	
24	25	1/4	1/16		1/16	1		2	62	2	1	
24	25	1/4	1/8		1/8	1		-2	70	1	1	
24	25	1/4	1/8		1/8	1		2	74	1	1	
24	25	5/16	1/16		1/16	1		-2	58	2	1	
24	25	3/8	1/16		1/16	1		2	62	2	1	
24	25	3/8	1/8		1/8	1		-2	70	1	1	
24	25	3/8	1/8		1/8	1		-1	77	1	1	
24	25	7/16	1/16		1/16	1		-1	65	2	1	
24	25	1/2	1/16		1/16	1		-3	63	2	1	
24	25	1/2	1/8		1/8	1		0	72	1	1	
24	25	1/2	1/8		1/8	1		-1	77	1	1	
24	25	9/16	1/16		1/16	1		2	62	2	1	
24	25	5/8	1/16		1/16	1		0	60	2	1	
24	25	5/8	1/8		1/8	1		2	74	1	1	
24	25	5/8	1/8		1/8	1		-1	77	1	1	
24	25	11/16	1/16		1/16	1		-2	58	2	1	
25	26	0	1/16		1/16	1		3	57	2	1	
25	26	0	1/4		1/4	1		-3	75	1	2	
25	26	0	1/8		1/8	1	1	-1	77	1	1	
25	26	1/16	1/16		1/16	1		0	60	2	1	
25	26	1/8	1/16		1/16	1		-3	63	2	1	
25	26	1/8	1/32		1/32	1	-1	-1	77	1	1	
25	26	5/32	1/32		1/32	1		1	79	1	1	
25	26	3/16	1/16		1/16	1		2	62	2	1	
25	26	3/16	1/32		1/32	1		-1	77	1	1	
25	26	7/32	1/32		1/32	1		4	76	1	1	
25	26	1/4	1/16		1/16	1		0	60	2	1	
25	26	1/4	1/8		1/8	1		-1	77	1	1	
25	26	5/16	1/16		1/16	1		-2	58	2	1	
25	26	3/8	1/16		1/16	1		3	57	2	1	
25	26	3/8	1/8		1/8	1		3	69	1	2	
25	26	3/8	1/8		1/8	1		-1	77	1	1	
25	26	7/16	1/16		1/16	1		1	55	2	1	
25	26	1/2	1/16		1/16	1		-1	53	2	1	
25	26	1/2	1/8		1/8	1		-2	70	1	2	
25	26	1/2	1/8		1/8	1		1	79	1	1	
25	26	9/16	1/16		1/16	1		1	55	2	1	
25	26	5/8	1/16		1/16	1		-3	51	2	1	
25	26	5/8	1/8		1/8	1		0	72	1	2	
25	26	5/8	1/8		1/8	1		3	81	1	1	
25	26	11/16	1/16		1/16	1		-1	53	2	1	
26	27	0	1/16		1/16	1		2	50	2	1	
26	27	0	1/4		1/4	1		-2	70	1	2	
26	27	0	1/8		1/8	1	1	-2	82	1	1	
26	27	1/16	1/16		1/16	1		-1	53	2	1	
26	27	1/8	1/16		1/16	1		-2	58	2	1	
26	27	1/8	1/32		1/32	1	-1	-2	82	1	1	
26	27	5/32	1/32		1/32	1		0	84	1	1	
26	27	3/16	1/16		1/16	1		-1	53	2	1	
26	27	3/16	1/32		1/32	1		2	86	1	1	
26	27	7/32	1/32		1/32	1		-2	82	1	1	
26	27	1/4	1/8		1/8	1		2	62	2	1	
26	27	1/4	1/8		1/8	1		-1	77	1	1	
26	27	3/8	1/8		1/8	1		-2	58	2	1	
26	27	3/8	1/8		1/8	1		2	62	2	1	
26	27	3/8	1/8		1/8	1		2	74	1	1	
26	27	3/8	1/8		1/8	1		-1	77	1	1	
26	27	1/2	1/8		1/8	1		0	60	2	1	
26	27	1/2	1/8		1/8	1		-3	63	2	1	
26	27	1/2	1/8		1/8	1		0	72	1	1	
26	27	1/2	1/8		1/8	1		-3	75	1	1	
26	27	5/8	1/8		1/8	1		2	62	2	1	
26	27	5/8	1/8		1/8	1		-1	65	2	1	
26	27	5/8	1/8		1/8	1		-2	70	1	1	
26	27	5/8	1/8		1/8	1		2	74	1	1	
27	28	0	1/4		1/4	1		-3	63	2	1	
27	28	0	1/4		1/4	1		1	67	2	1	
27	28	0	1/32		1/32	1		5	71	1	1	
27	28	1/32	1/32		1/32	1		0	72	1	1	
27	28	1/16	1/32		1/32	1		2	74	1	1	
27	28	3/32	1/32		1/32	1		0	72	1	1	
27	28	1/8	1/32		1/32	1		-3	75	1	1	
27	28	5/32	1/32		1/32	1		2	74	1	1	
27	28	3/16	1/32		1/32	1		-1	77	1	1	
27	28	7/32	1/32		1/32	1		-3	75	1	1	
27	28	1/4	1/4		1/4	1		1	79	1	1	
27	28	1/2	1/4		1/4	1		-1	53	2	1	
27	28	1/2	1/8		1/8	1		3	57	2	2	
27	28	1/2	1/4		1/4	1		-3	63	2	1	
27	28	1/2	1/8		1/8	1		-1	77	1	1	
27	28	5/8	1/8		1/8	1		0	60	2	2	
27	28	23/32	1/32		1/32	1		3	69	1	1	
