mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p							
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Andante	52.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1								0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3								1
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4								1
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5								
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	6								2
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	7								
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	8								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	10								
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	11								
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	12								
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	13								
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	14								
3	3	6	6	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	15								3
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	16								3
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	17								3
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	18								3
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	19								3
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	20								3
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	21								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	22								
3	3	7	7	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	23								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	24								
