mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	Trill:trill
15	14	40	40	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	67											
15	14	40	40	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	68											
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	69											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	70											
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	71									15		
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72									15		
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	73											
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74											
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75											
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	76											
17	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f										
17	16	48	48	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	77											
17	16	48	48	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	78											
17	16	97/2	97/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	79											
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	80											
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81											
18	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	82											
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	83											
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	84											
18	17	49	49	0.0	0	0	Dynamic	3/4	2	1	0					f										
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85											
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86											
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87											
18	17	49	49	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	88											
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	89											
18	17	50	50	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	90											
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	91											
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	92											
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	93											
19	18	52	52	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	94											
19	18	54	54	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	95											
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	96											
19	18	109/2	109/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	97											
19	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	98											
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	99											
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	100											
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	101											
19	18	52	52	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	102											
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	103											
19	18	53	53	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	104											
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	105											
19	18	54	54	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	106											
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	107											
20	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	108											
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	110											
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111											
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113											
20	19	55	55	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	114											
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	115											
20	19	56	56	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	116											
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	117											
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	118											
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	119											
21	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	120											
21	20	60	60	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	121											
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	122											
21	20	121/2	121/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	123											
21	20	243/4	243/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	124											
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125											
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126											
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127											
21	20	58	58	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	128											
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	129											
21	20	59	59	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	130											
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	131											
21	20	60	60	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	132											
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	133											
22	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	134											
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135		articStaccatoBelow									
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136		articStaccatoAbove									
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	137											
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	138		articStaccatoBelow									
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	139		articStaccatoAbove									
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	140											
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	141											
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142											
25	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	143											
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	144											
27	26	76	76	0.0	0	0	Dynamic	3/4	1	1	0					p										
27	26	76	76	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	145									16		
28	27	79	79	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	146											
28	27	79	79	0.0	0	0	Dynamic	3/4	2	1	0					p										
28	27	79	79	0.0	0	0	Dynamic	3/4	2	1	0					p										
28	27	79	79	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	147											
29	28	82	82	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	148											
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	149											
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150											
29	28	82	82	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	151									17		
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152											
30	29	85	85	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	153											
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	154											
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	155											
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	156											
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157											
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158											
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159											
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	160											
31	30	90	90	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f										
31	30	90	90	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	161											
31	30	90	90	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	162											
31	30	181/2	181/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	163											
31	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	164											
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	165											
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	166											
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	167											
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168											
32	31	91	91	0.0	0	0	Dynamic	3/4	2	1	0					f										
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169											
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170											
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171											
32	31	91	91	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	172											
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	173											
32	31	92	92	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	174											
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	175											
32	31	93	93	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	176											
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	177											
33	32	94	94	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	178											
33	32	96	96	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	179											
33	32	96	96	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	180											
33	32	193/2	193/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	181											
33	32	387/4	387/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	182											
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	183											
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184											
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	185											
33	32	94	94	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	186											
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	187											
33	32	95	95	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	188											
33	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	189											
33	32	96	96	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	190											
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	191											
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	192											
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	193											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	194											
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	195											
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197											
34	33	97	97	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	198											
34	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	199											
34	33	98	98	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	200											
34	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	201											
34	33	99	99	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	202											
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	203											
35	34	100	100	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	204											
35	34	102	102	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	205											
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	206											
35	34	205/2	205/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	207											
35	34	411/4	411/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	208											
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	209											
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	210											
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211											
35	34	100	100	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	212											
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	213											
35	34	101	101	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	214											
35	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	215											
35	34	102	102	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	216											
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	217											
36	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	218											
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	219		articStaccatoBelow									
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220		articStaccatoAbove									
37	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	221											
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222		articStaccatoBelow									
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223		articStaccatoAbove									
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224											
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225											
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226											
39	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	227											
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	228											
41	40	118	118	0.0	0	0	Dynamic	3/4	1	1	0					p										
41	40	118	118	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	229									18		
42	41	121	121	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	230											
42	41	121	121	0.0	0	0	Dynamic	3/4	2	1	0					p										
42	41	121	121	0.0	0	0	Dynamic	3/4	2	1	0					p										
42	41	121	121	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	231											
43	42	124	124	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	232											
43	42	251/2	251/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233											
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	234											
43	42	124	124	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	235									19		
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	236											
44	43	127	127	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	237											
44	43	127	127	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	238											
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	239											
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	240											
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	241											
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	242											
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	243											
45	44	130	130	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	244											
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245											
46	45	133	133	0.0	0	0	Dynamic	3/4	1	1	0					f										
46	45	133	133	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	246											
46	45	133	133	0.0	0	0	Dynamic	3/4	2	1	0					f										
46	45	133	133	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	247											
47	46	136	136	0.0	0	0	Dynamic	3/4	2	1	0					p										
47	46	136	136	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	248									20		
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	249									20		
47	46	137	137	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	250									20		
47	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	251									20		
47	46	138	138	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	252									20		
47	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	253									20		
48	47	140	140	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p										
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	254		articStaccatoAbove							21		
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	255		articStaccatoAbove									
48	47	139	139	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	256									20		
48	47	279/2	279/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	257									20		
48	47	140	140	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	258									20		
48	47	281/2	281/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	259									20		
48	47	141	141	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	260									20		
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	261											
49	48	142	142	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	262		ornamentTurn									
49	48	287/2	287/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	263											
49	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	264											
49	48	142	142	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	265									22		
49	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	266									22		
49	48	143	143	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	267									22		
49	48	287/2	287/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	268									22		
49	48	144	144	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	269									22		
49	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	270									22		
50	49	145	145	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	271									23		
50	49	147	147	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	272											
50	49	145	145	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	273									22		
50	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	274									22		
50	49	146	146	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	275									22		
50	49	293/2	293/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	276									22		
50	49	147	147	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	277									22		
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	278											
51	50	148	148	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	279									24		
51	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	280											
51	50	148	148	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	281									25		
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	282									25		
51	50	149	149	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	283									25		
51	50	299/2	299/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	284									25		
51	50	150	150	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	285									25		
