mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
28	27	159/2	159/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	277										35
28	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	278										35
28	27	80	80	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	279										35
28	27	321/4	321/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	280										35
28	27	161/2	161/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	281										35
28	27	323/4	323/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	282										35
28	27	81	81	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	283										35
28	27	325/4	325/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	284										35
28	27	163/2	163/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	285										35
28	27	327/4	327/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	286										
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	287										
29	28	165/2	165/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	288										36
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	289										36
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	290										
29	28	167/2	167/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	291										37
29	28	335/4	335/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	292										37
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	293										
29	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	294										38
29	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	295										
29	28	82	82	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	296										39
29	28	329/4	329/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	297										39
29	28	165/2	165/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	298										39
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	299										39
29	28	83	83	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	300										39
29	28	333/4	333/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	301										39
29	28	167/2	167/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	302										39
29	28	335/4	335/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	303										39
29	28	84	84	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	304										39
29	28	337/4	337/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	305										39
29	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	306										39
29	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	307										
30	29	85	85	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	308										40
30	29	341/4	341/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	309										40
30	29	171/2	171/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	310										40
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	311										40
30	29	86	86	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	312										40
30	29	345/4	345/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	313										40
30	29	173/2	173/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	314										40
30	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	315										40
30	29	87	87	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	316										40
30	29	349/4	349/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	317										40
30	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	318										40
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	319										
30	29	85	85	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	320										41
30	29	341/4	341/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	321										41
30	29	171/2	171/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	322										41
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	323										41
30	29	86	86	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	324										41
30	29	345/4	345/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	325										41
30	29	173/2	173/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	326										41
30	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	327										41
30	29	87	87	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	328										41
30	29	349/4	349/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	329										41
30	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	330										41
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	331										
31	30	88	88	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	332										42
31	30	353/4	353/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	333										42
31	30	177/2	177/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	334										42
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	335										
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	336		articStaccatoAbove								
31	30	90	90	0.0	1/2	1/2	SystemText	3/4	1	1	0								m.d.						
31	30	88	88	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	337										43
31	30	353/4	353/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	338										43
31	30	177/2	177/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	339										43
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	340										43
31	30	89	89	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	341										43
31	30	357/4	357/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	342										43
31	30	179/2	179/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	343										43
31	30	359/4	359/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	344										
31	30	90	90	0.0	1/2	1/2	Dynamic	3/4	2	1	0					f									
31	30	90	90	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	345										44
31	30	361/4	361/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	346										44
31	30	181/2	181/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	347										44
31	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	348										
32	31	91	91	0.0	0	0	SystemText	3/4	1	1	0								m.s.						
32	31	183/2	183/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					p									
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	349		articStaccatissimoAbove								
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	350		articStaccatissimoAbove								
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	351		articStaccatissimoAbove								
32	31	93	93	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	352										45
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	353										
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	354										46
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	355										
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	356										
32	31	93	93	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	357										47
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	358										
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	359		articStaccatissimoAbove								
33	32	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	360		articStaccatissimoAbove								
33	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	361		articStaccatissimoAbove								
33	32	96	96	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
33	32	96	96	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	362										48
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	363										
33	32	96	96	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	364										49
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	365										
33	32	94	94	0.0	0	0	Dynamic	3/4	2	1	0					p									
33	32	94	94	0.0	0	0	Dynamic	3/4	2	1	0					p									
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	366										
33	32	96	96	0.0	1/2	1/2	Dynamic	3/4	2	1	0					f									
33	32	96	96	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	367										50
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	368										
34	33	195/2	195/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					p									
34	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	369		articStaccatissimoAbove								
34	33	98	98	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	370		articStaccatissimoAbove								
34	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	371		articStaccatissimoAbove								
34	33	99	99	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	372										51
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	373										
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	374										52
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	375										
34	33	97	97	0.0	0	0	Dynamic	3/4	2	1	0					p									
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	376										
34	33	99	99	0.0	1/2	1/2	Dynamic	3/4	2	1	0					f									
34	33	99	99	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	377										53
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	378										
35	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	379										54
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	380										
35	34	101	101	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	381										55
35	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	382										
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	383										56
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	384										
35	34	100	100	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	385										57
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	386										
35	34	101	101	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	387										58
35	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	388										
35	34	102	102	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	389										59
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	390										
35	34	100	100	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	391										60
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	392										
35	34	101	101	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	393										61
35	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	394										
35	34	102	102	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	395										62
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	396										
36	35	103	103	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	397										63
36	35	413/4	413/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	398										63
36	35	207/2	207/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	399										63
36	35	415/4	415/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	400										
36	35	104	104	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	401										64
36	35	417/4	417/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	402										64
36	35	209/2	209/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	403										64
36	35	419/4	419/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	404										
36	35	105	105	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	405										65
36	35	421/4	421/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	406										65
36	35	211/2	211/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	407										65
36	35	423/4	423/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	408										
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	409										
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410										
37	36	106	106	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	411										66
37	36	425/4	425/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	412										66
37	36	213/2	213/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	413										66
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	414										
37	36	107	107	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	415										67
37	36	429/4	429/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	416										67
37	36	215/2	215/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	417										67
37	36	431/4	431/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	418										
37	36	108	108	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	419										68
37	36	433/4	433/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	420										68
37	36	217/2	217/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	421										68
37	36	435/4	435/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	422										
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	423										
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	424										
38	37	109	109	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	425										69
38	37	437/4	437/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	426										69
38	37	219/2	219/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	427										69
38	37	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	428										
38	37	110	110	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	429										
38	37	110	110	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	430										
38	37	441/4	441/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	431										
38	37	221/2	221/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	432										
38	37	443/4	443/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	433										
38	37	111	111	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	434										
38	37	111	111	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	435										
38	37	445/4	445/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	436										
38	37	223/2	223/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	437										
38	37	447/4	447/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	438										
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	439										
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	440										
38	37	109	109	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	441										
38	37	110	110	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	442										
39	38	225/2	225/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					p									
39	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	443		articStaccatissimoBelow								
39	38	113	113	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	444		articStaccatissimoBelow								
39	38	227/2	227/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	445		articStaccatissimoBelow								
39	38	114	114	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	446										70
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	447										
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	448										71
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	449										
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	450										
39	38	112	112	0.0	0	0	Dynamic	3/4	2	2	0					p									
39	38	112	112	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	451										
39	38	114	114	0.0	1/2	1/2	Dynamic	3/4	2	2	0					f									
39	38	114	114	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	452										72
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	453										
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	454										73
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	455										
40	39	116	116	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	456										74
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	457										
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	458										75
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	459										
40	39	115	115	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	460										76
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	461										
40	39	116	116	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	462										77
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	463										
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	464										78
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	465										
40	39	115	115	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	466										79
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	467										
40	39	116	116	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	468										80
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	469										
40	39	117	117	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	470										81
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	471										
41	40	118	118	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	472										82
41	40	473/4	473/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	473										82
41	40	237/2	237/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	474										82
41	40	475/4	475/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	475										
41	40	119	119	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	476										83
41	40	477/4	477/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	477										83
41	40	239/2	239/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	478										83
41	40	479/4	479/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	479										
41	40	120	120	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	480										84
41	40	481/4	481/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	481										84
41	40	241/2	241/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	482										84
41	40	483/4	483/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	483										
41	40	118	118	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	484										
41	40	239/2	239/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	485										
41	40	120	120	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	486										
41	40	241/2	241/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	487										
42	41	121	121	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	488										85
42	41	485/4	485/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	489										85
42	41	243/2	243/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	490										85
42	41	487/4	487/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	491										
42	41	122	122	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	492										86
42	41	489/4	489/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	493										86
42	41	245/2	245/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	494										86
42	41	491/4	491/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	495										
42	41	123	123	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	496										87
42	41	493/4	493/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	497										87
42	41	247/2	247/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	498										87
42	41	495/4	495/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	499										
42	41	121	121	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	500										
42	41	245/2	245/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	501										
42	41	123	123	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	502										
42	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	503										
43	42	124	124	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	504										88
43	42	497/4	497/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	505										88
43	42	249/2	249/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	506										88
43	42	499/4	499/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	507										
43	42	125	125	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	508										
43	42	125	125	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	509										
43	42	251/2	251/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	510										
43	42	503/4	503/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	511										
43	42	126	126	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	512										
43	42	126	126	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	513										
43	42	253/2	253/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	514										
43	42	507/4	507/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	515										
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	516										
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	517										
43	42	124	124	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	518										
43	42	125	125	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	519										
44	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	520										
44	43	255/2	255/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	521										89
44	43	511/4	511/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	522										89
44	43	128	128	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	523										89
44	43	513/4	513/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	524										89
44	43	257/2	257/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	525										89
44	43	515/4	515/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	526										
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	527		ornamentTrill								
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	528										
44	43	257/2	257/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	529										90
44	43	515/4	515/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	530										90
44	43	129	129	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	531										90
44	43	517/4	517/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	532										90
44	43	259/2	259/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	533										90
44	43	519/4	519/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	534										
44	43	127	127	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	535										
45	44	130	130	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	536										
45	44	261/2	261/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	537										91
45	44	523/4	523/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	538										91
45	44	131	131	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	539										91
45	44	525/4	525/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	540										91
45	44	263/2	263/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	541										91
45	44	527/4	527/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	542										
45	44	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	543		ornamentTrill								
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	544										
45	44	263/2	263/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	545										92
45	44	527/4	527/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	546										92
45	44	132	132	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	547										92
45	44	529/4	529/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	548										92
45	44	265/2	265/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	549										92
45	44	531/4	531/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	550										
