mc	mn	timesig	onset	staff	voice	label
1	0	4/4	0	1	1	.Bb.I{
2	1	4/4	1/4	1	1	V43
2	1	4/4	1/2	1	1	I6(#11)
2	1	4/4	3/4	1	1	I
3	2	4/4	0	1	1	V6
3	2	4/4	1/4	1	1	I
3	2	4/4	1/2	1	1	V64
3	2	4/4	3/4	1	1	V2
4	3	4/4	0	1	1	I6
4	3	4/4	1/2	1	1	V6
5	4	4/4	0	1	1	I
5	4	4/4	3/8	1	1	ii6
5	4	4/4	1/2	1	1	V(64)}
5	4	4/4	3/4	1	1	V
6	5	4/4	0	1	1	I{
6	5	4/4	1/4	1	1	V43
6	5	4/4	1/2	1	1	I6(#11)
6	5	4/4	3/4	1	1	I
7	6	4/4	0	1	1	V6
7	6	4/4	1/4	1	1	I
7	6	4/4	1/2	1	1	V64
7	6	4/4	3/4	1	1	V2
8	7	4/4	0	1	1	I6
8	7	4/4	1/2	1	1	ii6
9	8	4/4	0	1	1	V(64)
9	8	4/4	1/4	1	1	V7
9	8	4/4	1/2	1	1	I}
9	8	4/4	7/8	1	1	{
10	9	4/4	0	1	1	V
10	9	4/4	1/4	1	1	viio6/V
10	9	4/4	1/2	1	1	V65
10	9	4/4	3/4	1	1	I(4)
10	9	4/4	7/8	1	1	I
11	10	4/4	0	1	1	ii6(2)
11	10	4/4	1/4	1	1	ii6
11	10	4/4	3/8	1	1	V6/V
11	10	4/4	1/2	1	1	V(4)
11	10	4/4	3/4	1	1	V
12	11	4/4	1/4	1	1	viio6/V
12	11	4/4	1/2	1	1	V65
12	11	4/4	3/4	1	1	I(4)
12	11	4/4	7/8	1	1	I
13	12	4/4	0	1	1	viio6/V
13	12	4/4	1/2	1	1	V
14	13	4/4	0	1	1	viio6/V
14	13	4/4	1/2	1	1	V
15	14	4/4	0	1	1	viio6/V
15	14	4/4	1/2	1	1	V}
16	15	4/4	0	1	1	I{
16	15	4/4	1/4	1	1	V43
16	15	4/4	1/2	1	1	I6(#11)
16	15	4/4	3/4	1	1	I
17	16	4/4	0	1	1	V6
17	16	4/4	1/4	1	1	I
17	16	4/4	1/2	1	1	V64
17	16	4/4	3/4	1	1	V2
18	17	4/4	0	1	1	I6
18	17	4/4	1/2	1	1	V6
19	18	4/4	0	1	1	I
19	18	4/4	3/8	1	1	ii6
19	18	4/4	1/2	1	1	V(64)}
19	18	4/4	3/4	1	1	V
20	19	4/4	0	1	1	I{
20	19	4/4	1/4	1	1	V43
20	19	4/4	1/2	1	1	I6(#11)
20	19	4/4	3/4	1	1	I
21	20	4/4	0	1	1	V6
21	20	4/4	1/4	1	1	I
21	20	4/4	1/2	1	1	V64
21	20	4/4	3/4	1	1	V2
22	21	4/4	0	1	1	I6
22	21	4/4	1/2	1	1	ii6
23	22	4/4	0	1	1	V(64)
23	22	4/4	1/4	1	1	V7
23	22	4/4	1/2	1	1	I}
23	22	4/4	7/8	1	1	{
24	23	4/4	0	1	1	I[I
24	23	4/4	1/2	1	1	IV6
24	23	4/4	7/8	1	1	ii6
25	24	4/4	0	1	1	IV
25	24	4/4	1/4	1	1	viio6
25	24	4/4	1/2	1	1	I
26	25	4/4	0	1	1	I6
26	25	4/4	1/2	1	1	IV
26	25	4/4	7/8	1	1	ii
27	26	4/4	0	1	1	vi
27	26	4/4	1/4	1	1	viio
27	26	4/4	1/2	1	1	I]}
28	27	4/4	0	1	1	V6/vi{
28	27	4/4	1/4	1	1	vi
28	27	4/4	1/2	1	1	#viio6/vi
28	27	4/4	3/4	1	1	vi6
29	28	4/4	0	1	1	V6/V
29	28	4/4	1/4	1	1	V
29	28	4/4	1/2	1	1	viio6/V
29	28	4/4	3/4	1	1	V6
30	29	4/4	0	1	1	V.I6
30	29	4/4	1/2	1	1	ii65
31	30	4/4	0	1	1	V(64)
31	30	4/4	1/4	1	1	V7
31	30	4/4	1/2	1	1	I(94)}
31	30	4/4	3/4	1	1	I
31	30	4/4	7/8	1	1	{
32	31	4/4	0	1	1	I.iio/ii
32	31	4/4	1/2	1	1	V7/ii
33	32	4/4	0	1	1	ii
33	32	4/4	1/2	1	1	V7
34	33	4/4	0	1	1	i
34	33	4/4	1/2	1	1	.bVI
35	34	4/4	0	1	1	viio/V
35	34	4/4	1/4	1	1	viio6/V
35	34	4/4	1/2	1	1	V(94)}
35	34	4/4	3/4	1	1	V
35	34	4/4	7/8	1	1	{
36	35	4/4	0	1	1	I[I
36	35	4/4	1/2	1	1	IV6
36	35	4/4	7/8	1	1	ii6
37	36	4/4	0	1	1	IV
37	36	4/4	1/4	1	1	viio6
37	36	4/4	1/2	1	1	I
38	37	4/4	0	1	1	I6
38	37	4/4	1/2	1	1	IV
38	37	4/4	7/8	1	1	ii
39	38	4/4	0	1	1	vi
39	38	4/4	1/4	1	1	viio
39	38	4/4	1/2	1	1	I]}
40	39	4/4	0	1	1	V6/ii{
40	39	4/4	1/4	1	1	ii
40	39	4/4	1/2	1	1	#viio6/ii
40	39	4/4	3/4	1	1	ii6
41	40	4/4	0	1	1	V6
41	40	4/4	1/4	1	1	I
41	40	4/4	1/2	1	1	viio6
41	40	4/4	3/4	1	1	I6
42	41	4/4	0	1	1	I6
42	41	4/4	1/2	1	1	ii65
43	42	4/4	0	1	1	V(64)
43	42	4/4	1/4	1	1	V7
43	42	4/4	1/2	1	1	I(94)}
43	42	4/4	3/4	1	1	I
45	44	4/4	0	1	1	IV.V7
46	45	4/4	0	1	1	I6{
46	45	4/4	1/2	1	1	IV
47	46	4/4	0	1	1	V6
47	46	4/4	1/2	1	1	I
48	47	4/4	1/4	1	1	I.V/V/ii
48	47	4/4	3/8	1	1	#viio/ii
48	47	4/4	1/2	1	1	II
48	47	4/4	5/8	1	1	viio
48	47	4/4	3/4	1	1	I
48	47	4/4	7/8	1	1	viio7/V
49	48	4/4	0	1	1	V(4)
49	48	4/4	1/4	1	1	V
49	48	4/4	1/2	1	1	I}
50	49	4/4	0	1	1	viio2/V{
50	49	4/4	1/2	1	1	viio7/V
51	50	4/4	0	1	1	IV.viio2
51	50	4/4	1/2	1	1	viio7
52	51	4/4	0	1	1	I
52	51	4/4	1/8	1	1	i
52	51	4/4	1/4	1	1	V6
52	51	4/4	3/8	1	1	v6
52	51	4/4	1/2	1	1	IV6
52	51	4/4	5/8	1	1	.It6
52	51	4/4	3/4	1	1	V
52	51	4/4	7/8	1	1	viio7/V
53	52	4/4	0	1	1	V}
53	52	4/4	3/4	1	1	V7
54	53	4/4	0	1	1	I6{
54	53	4/4	1/2	1	1	IV
