mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	3/4	2	1	Bb.I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	12	12	6.0	0	0	3/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	18	18	6.0	0	0	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
9	9	24	24	6.0	0	0	3/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	30	30	6.0	0	0	3/4	2	1	I}	Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
12	12	139/4	139/4	0.0	7/16	7/16	3/4	2	1	{	Bb	I										{		0	0				
13	13	36	36	3.0	0	0	3/4	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	14	39	39	3.0	0	0	3/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	42	42	3.0	0	0	3/4	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	45	45	1.0	0	0	3/4	2	1	I(#2)	Bb	I		I(#2)		I			#2				M	0	0	0, 9, 1		0	0
16	16	46	46	2.0	1/4	1/4	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	17	48	48	3.0	0	0	3/4	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	51	51	3.0	0	0	3/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	54	54	3.0	0	0	3/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	57	57	3.0	0	0	3/4	2	1	I|PAC}	Bb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
21	21	60	60	3.0	0	0	3/4	2	1	vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
22	22	63	63	3.0	0	0	3/4	2	1	V/vi	Bb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
23	23	66	66	3.0	0	0	3/4	2	1	IV{	Bb	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
24	24	69	69	3.0	0	0	3/4	2	1	V65/IV	Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
25	25	72	72	3.0	0	0	3/4	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	26	75	75	3.0	0	0	3/4	2	1	V65/IV	Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
