mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	4.0	0	1/2	3/4	2	1	Bb.I6{	Bb	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
3	2	4	6.0	0	0	3/4	2	1	V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	4	10	2.0	0	0	3/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	12	1.0	1/2	1/2	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	13	1.0	0	0	3/4	2	1	V[I6	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
6	5	14	1.0	1/4	1/4	3/4	2	1	V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	15	1.0	1/2	1/2	3/4	2	1	I	Bb	I	V	I		I							M	0	0	0, 4, 1		0	0
7	6	16	1.0	0	0	3/4	2	1	I6	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
7	6	17	1.0	1/4	1/4	3/4	2	1	V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	18	1.0	1/2	1/2	3/4	2	1	I	Bb	I	V	I		I							M	0	0	0, 4, 1		0	0
8	7	19	6.0	0	0	3/4	2	1	I6]	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
10	9	25	2.0	0	0	3/4	2	1	V.V(64)	Bb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	9	27	1.0	1/2	1/2	3/4	2	1	V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	28	2.0	0	0	3/4	2	1	I|PAC}	Bb	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
11	10	30	1.0	1/2	1/2	3/4	2	1	IV{	Bb	V		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
12	11	31	2.0	0	0	3/4	2	1	I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
12	11	33	1.0	1/2	1/2	3/4	2	1	viio64	Bb	V		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
13	12	34	2.0	0	0	3/4	2	1	I}	Bb	V		I		I						}	M	0	0	0, 4, 1		0	0
14	12	36	1.0	0	1/2	3/4	2	1	I.viio43/ii{	Bb	I		viio43/ii		vii	o	43		ii		{	o7	0	0	-6, -9, 0, -3		0	-6
15	13	37	1.0	0	0	3/4	2	1	II6	Bb	I		II6		II		6					M	0	0	6, 3, 2		2	6
15	13	38	1.0	1/4	1/4	3/4	2	1	viio43	Bb	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
15	13	39	1.0	1/2	1/2	3/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	14	40	1.0	0	0	3/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
16	14	41	1.0	1/4	1/4	3/4	2	1	viio7	Bb	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
16	14	42	1.0	1/2	1/2	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	15	43	2.0	0	0	3/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
17	15	45	1.0	1/2	1/2	3/4	2	1	viio7/V	Bb	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
18	16	46	1.0	0	0	3/4	2	1	V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
18	16	47	1.0	1/4	1/4	3/4	2	1	V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	16	48	1.0	1/2	1/2	3/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	17	49	1.0	0	0	3/4	2	1	viio	Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
19	17	50	1.0	1/4	1/4	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
19	17	51	1.0	1/2	1/2	3/4	2	1	vii%7/V	Bb	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
20	18	52	1.0	0	0	3/4	2	1	V(64)}	Bb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
20	18	53	1.0	1/4	1/4	3/4	2	1	V|HC	Bb	I		V		V					HC		M	0	0	1, 5, 2		1	1
20	18	54	1.0	1/2	1/2	3/4	2	1	I6{	Bb	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
21	19	55	3.0	0	0	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
22	20	58	3.0	0	0	3/4	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	21	61	3.0	0	0	3/4	2	1	viio6	Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
24	22	64	3.0	0	0	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
25	23	67	1.0	0	0	3/4	2	1	V[I6	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
25	23	68	1.0	1/4	1/4	3/4	2	1	V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	23	69	1.0	1/2	1/2	3/4	2	1	I	Bb	I	V	I		I							M	0	0	0, 4, 1		0	0
26	24	70	1.0	0	0	3/4	2	1	I6	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
26	24	71	1.0	1/4	1/4	3/4	2	1	V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	24	72	1.0	1/2	1/2	3/4	2	1	I	Bb	I	V	I		I							M	0	0	0, 4, 1		0	0
27	25	73	6.0	0	0	3/4	2	1	I6]	Bb	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
29	27	79	2.0	0	0	3/4	2	1	V(64)	Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
29	27	81	1.0	1/2	1/2	3/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	28	82	2.0	0	0	3/4	2	1	I|PAC}	Bb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
30	28	84	1.0	1/2	1/2	3/4	2	1	IV{	Bb	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
31	29	85	2.0	0	0	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
31	29	87	1.0	1/2	1/2	3/4	2	1	viio64	Bb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
32	30	88	2.0	0	0	3/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
32	30	90	1.0	1/2	1/2	3/4	2	1	vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
33	31	91	1.0	0	0	3/4	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
33	31	92	1.0	1/4	1/4	3/4	2	1	ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
33	31	93	1.0	1/2	1/2	3/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	32	94	2.0	0	0	3/4	2	1	I|PAC}	Bb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
35	32	96	1.0	0	1/2	3/4	2	1	IV.V[V{	Bb	IV	V	V		V						{	M	0	0	1, 5, 2		1	1
36	33	97	3.0	0	0	3/4	2	1	I	Bb	IV	V	I		I							M	0	0	0, 4, 1		0	0
37	34	100	1.0	0	0	3/4	2	1	V7(4)	Bb	IV	V	V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
37	34	101	2.0	1/4	1/4	3/4	2	1	V7	Bb	IV	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	35	103	3.0	0	0	3/4	2	1	I	Bb	IV	V	I		I							M	0	0	0, 4, 1		0	0
39	36	106	3.0	0	0	3/4	2	1	V7]	Bb	IV	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	37	109	2.0	0	0	3/4	2	1	I	Bb	IV		I		I							M	0	0	0, 4, 1		0	0
40	37	111	1.0	1/2	1/2	3/4	2	1	V65/IV	Bb	IV		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
