mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Bb.I{	Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
1	1	1/4	1/4	3/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.75	0.0
1	1	1/2	1/2	3/4	2	1	I6	Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
2	2	0	0	3/4	2	1	viio65/V	Bb	I		viio65/V	vii	o	65		V			o7	0	0	1, -2, -5, 4		4	1	0	3	0.0	0.0	1.5	0.0
2	2	1/4	1/4	3/4	2	1	V64/V	Bb	I		V64/V	V		64		V			M	0	0	1, 0, 4		0	1	0	1	0.0	0.0	0.25	0.0
2	2	1/2	1/2	3/4	2	1	V43/V	Bb	I		V43/V	V		43		V			Mm7	0	0	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	V(4)	Bb	I		V(4)	V			4				M	0	0	-1, -2, 0		-1	-1	2	4	0.3333333333333333	0.0	1.125	0.0
3	3	1/4	1/4	3/4	2	1	V	Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
3	3	5/8	5/8	3/4	2	1	IV6	Bb	I		IV6	IV		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.375	0.0
4	4	0	0	3/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	3, 0, -3, -1		-1	3	0	4	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	I}	Bb	I		I	I						}	M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
5	5	0	0	3/4	2	1	ii(9#74)	Bb	I		ii(9#74)	ii			9#74				m	0	0	0, -1, 1	2, 5	0	0	0	6	0.0	0.0	2.0	0.0
5	5	1/4	1/4	3/4	2	1	ii	Bb	I		ii	ii							m	0	0	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
6	6	0	0	3/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
6	6	1/4	1/4	3/4	2	1	I6	Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	1	5	0.16666666666666666	0.125	1.125	0.1
7	7	0	0	3/4	2	1	ii6(11#72)	Bb	I		ii6(11#72)	ii		6	11#72				m	0	0	-3, 1, 2, 5	-1	0	-3	0	6	0.0	0.0	2.0	0.0
7	7	1/4	1/4	3/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-3, 1, 0		0	-3	2	6	0.25	0.25	0.75	0.25
8	8	0	0	3/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	4	0.2	0.125	0.875	0.125
8	8	1/4	1/4	3/4	2	1	I	Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	1	4	0.2	0.125	0.875	0.125
8	8	1/2	1/2	3/4	2	1	V6	Bb	I		V6	V		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.125	0.875	0.125
9	9	0	0	3/4	2	1	vi	Bb	I		vi	vi							m	0	0	1, -2, 2		1	1	2	6	0.25	0.25	2.0	0.1111111111111111
9	9	1/2	1/2	3/4	2	1	V43/V	Bb	I		V43/V	V		43		V			Mm7	0	0	1, -2, 0, 4		0	1	1	3	0.25	0.125	0.625	0.16666666666666666
10	10	0	0	3/4	2	1	V(974)}	Bb	I		V(974)	V			974			}	M	0	0	-1, -2, 0	1, -3	-1	-1	1	3	0.25	0.25	1.0	0.2
10	10	1/4	1/4	3/4	2	1	V|HC	Bb	I		V	V					HC		M	0	0	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.125	0.875	0.125
11	11	0	0	3/4	2	1	I{	Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
11	11	1/4	1/4	3/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.75	0.0
11	11	1/2	1/2	3/4	2	1	I6	Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
12	12	0	0	3/4	2	1	viio65/V	Bb	I		viio65/V	vii	o	65		V			o7	0	0	1, -2, -5, 4		4	1	0	3	0.0	0.0	1.5	0.0
12	12	1/4	1/4	3/4	2	1	V64/V	Bb	I		V64/V	V		64		V			M	0	0	1, 0, 4		0	1	0	1	0.0	0.0	0.25	0.0
12	12	1/2	1/2	3/4	2	1	V43/V	Bb	I		V43/V	V		43		V			Mm7	0	0	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.5	0.0
13	13	0	0	3/4	2	1	V(4)	Bb	I		V(4)	V			4				M	0	0	-1, -2, 0		-1	-1	2	4	0.3333333333333333	0.0	1.125	0.0
13	13	1/4	1/4	3/4	2	1	V	Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
13	13	5/8	5/8	3/4	2	1	IV6	Bb	I		IV6	IV		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.375	0.0
14	14	0	0	3/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	3, 0, -3, -1		-1	3	0	4	0.0	0.0	0.75	0.0
14	14	1/4	1/4	3/4	2	1	I}	Bb	I		I	I						}	M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
15	15	0	0	3/4	2	1	ii(9#74)	Bb	I		ii(9#74)	ii			9#74				m	0	0	0, -1, 1	2, 5	0	0	0	6	0.0	0.0	2.0	0.0
15	15	1/4	1/4	3/4	2	1	ii	Bb	I		ii	ii							m	0	0	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
16	16	0	0	3/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
16	16	1/4	1/4	3/4	2	1	I6	Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	1	5	0.16666666666666666	0.125	1.125	0.1
17	17	0	0	3/4	2	1	ii(11#72)	Bb	I		ii(11#72)	ii			11#72				m	0	0	2, -3, 1	-1, 5	0	2	0	6	0.0	0.0	2.0	0.0
