mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	C.I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0	1	3	0.25	0.03125	0.34375	0.08333333333333333
1	1	1/4	1/4	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
1	1	3/8	3/8	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
2	2	0	0	2/4	2	1	I(97)	C	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0	0	3	0.0	0.0	0.375	0.0
2	2	1/8	1/8	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0	1	3	0.25	0.0	0.375	0.0
2	2	1/4	1/4	2/4	2	1	V|HC	C	I		V		V					HC		M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.75	0.0
3	3	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0	1	3	0.25	0.03125	0.34375	0.08333333333333333
3	3	1/4	1/4	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
3	3	3/8	3/8	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
4	4	0	0	2/4	2	1	I(94)	C	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0	0	3	0.0	0.0	0.375	0.0
4	4	1/8	1/8	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
4	4	1/4	1/4	2/4	2	1	V|HC	C	I		V		V					HC		M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.75	0.0
5	5	0	0	2/4	2	1	IV6	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.03125	0.46875	0.0625
5	5	1/4	1/4	2/4	2	1	I64	C	I		I64		I		64					M	0	0	1, 0, 4		0	1	0	4	0.0	0.0	0.5	0.0
6	6	0	0	2/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.03125	0.46875	0.0625
6	6	1/4	1/4	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
7	7	0	0	2/4	2	1	V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	6	0.0	0.0	0.5	0.0
