mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-2	4/4	1	0		firstMeasure					2
2	2	-2	4/4	1	0							3
3	3	-2	4/4	1	0							4
4	4	-2	4/4	1	0							5
5	5	-2	4/4	1	0							6
6	6	-2	4/4	1	0							7
7	7	-2	4/4	1	0							8
8	8	-2	4/4	1	0							9
9	9	-2	4/4	1	0							10
10	10	-2	4/4	1	0							11
11	11	-2	4/4	1	0							12
12	12	-2	4/4	1	0							13
13	13	-2	4/4	1	0							14
14	14	-2	4/4	1	0							15
15	15	-2	4/4	1	0							16
16	16	-2	4/4	1	0							17
17	17	-2	4/4	1	0							18
18	18	-2	4/4	1	0							19
19	19	-2	4/4	1	0							20
20	20	-2	4/4	1	0							21
21	21	-2	4/4	1	0							22
22	22	-2	4/4	1	0							23
23	23	-2	4/4	1	0							24
24	24	-2	4/4	1	0							25
25	25	-2	4/4	1	0							26
26	26	-2	4/4	1	0							27
27	27	-2	4/4	1	0							28
28	28	-2	4/4	1	0							29
29	29	-2	4/4	1	0							30
30	30	-2	4/4	1	0							31
31	31	-2	4/4	1	0							32
32	32	-2	4/4	1	0							33
33	33	-2	4/4	1	0							34
34	34	-2	4/4	1	0							35
35	35	-2	4/4	1	0							36
36	36	-2	4/4	1	0							37
37	37	-2	4/4	1	0							38
38	38	-2	4/4	1	0							39
39	39	-2	4/4	1	0							40
40	40	-2	4/4	1	0		lastMeasure		end			-1
